,X,Y
Forests,,
Evaporation,0.76,33.40010959
,-0.013333333,33.40487671
,1.533333333,33.39534247
Duration,0.013333333,32.36909589
,-0.28,32.37090411
,0.306666667,32.36728767
Elevation,0.04,31.38263014
,0.36,31.38065753
,-0.253333333,31.38443836
Longtide,-0.333333333,30.3
,-0.013333333,30.2980274
,-0.626666667,30.25249315
Latitude,0.173333333,29.26126027
,0.92,29.25665753
,1.666666667,29.25205479
MAP,-0.306666667,28.22860274
,-0.013333333,28.22679452
,0.28,28.17567123
MAT,-3.586666667,27.26252055
,-2.28,27.25446575
,-0.946666667,27.19693151
Grassland,,
Evaporation,0.733333333,25.16465753
,1.453333333,25.16021918
,2.04,25.15660274
Duration,-0.306666667,24.13545205
,-0.013333333,24.13364384
,0.253333333,24.132
Elevation,-0.333333333,23.14931507
,-0.013333333,23.0980274
,0.28,23.14553425
Longtide,-0.6,22.0660274
,-0.306666667,22.06421918
,0.013333333,22.06224658
Latitude,-0.626666667,21.03057534
,0.706666667,21.07167123
,2.066666667,21.0139726
MAP,-0.333333333,20.04246575
,-0.013333333,20.04049315
,0.28,20.03868493
MAT,-2.28,19.01884932
,-1.506666667,19.01408219
,-0.733333333,19.00931507
Surface,,
Evaporation,0.493333333,16.93052055
,1.053333333,16.92706849
,1.666666667,16.92328767
Duration,-0.253333333,15.89950685
,0.013333333,15.89786301
,0.28,15.94553425
Elevation,-0.253333333,14.91320548
,0.04,14.91139726
,0.306666667,14.90975342
Longtide,-0.6,13.87972603
,-0.333333333,13.87808219
,-0.013333333,13.87610959
Latitude,0.12,12.83967123
,0.786666667,12.83556164
,1.426666667,12.83161644
MAP,-0.306666667,11.856
,0.013333333,11.8540274
,0.28,11.85238356
MAT,-3.133333333,10.78849315
,-2.226666667,10.78290411
,-1.32,10.77731507
Buried,,
Evaporation,0.066666667,8.746849315
,0.44,8.793863014
,0.813333333,8.742246575
Duration,-0.36,7.713863014
,-0.04,7.711890411
,0.28,7.709917808
Elevation,-0.28,6.727068493
,0.013333333,6.675945205
,0.306666667,6.674136986
Longtide,-0.6,5.693424658
,-0.28,5.691452055
,0.013333333,5.738958904
Latitude,-3.693333333,4.627561644
,-1.026666667,4.611123288
,1.746666667,4.594027397
MAP,-0.306666667,3.620383562
,0.013333333,3.667726027
,0.28,3.666082192
MAT,-1.106666667,2.58969863
,-0.546666667,2.586246575
,-0.013333333,2.582958904
Woody litter,,
Evaporation,0.70420054,33.40073037
,1.439983117,33.39891362
,2.309544345,33.39676656
Duration,0.033380434,32.36534968
,0.836052337,32.36336777
,1.63872424,32.36138587
Elevation,0.098342906,31.32815224
,0.834125484,31.32633549
,1.503018736,31.3246839
Longtide,-0.238030573,30.29194575
,0.631530655,30.28979869
,1.367313233,30.28798194
Latitude,0.897161103,29.25210578
,1.632943681,29.25028903
,2.368726258,29.24847228
MAP,0.025673022,28.21722056
,0.828344925,28.21523865
,1.564127503,28.21342191
MAT,-2.852494816,27.18729011
,-1.514708311,27.18398693
,-0.043143156,27.18035344
Leaf,,
Evaporation,0.822564366,25.10414182
,1.625328024,25.1515424
,2.427908172,25.100178
Duration,-0.249499936,24.11913457
,0.419393317,24.11748298
,1.088286569,24.11583139
Elevation,0.016130512,23.08144165
,0.75191309,23.07962491
,1.554584993,23.077643
Longtide,-0.186372562,22.09428734
,0.549410016,22.09247059
,1.218303268,22.090819
Latitude,-10.89059145,21.08368047
,-2.195070927,21.01282734
,7.236415686,21.03892243
MAP,0.010349953,19.97034481
,0.746224286,20.01791056
,1.548896189,20.01592865
MAT,-1.4630503,18.98632852
,-0.727267722,18.98451177
,0.00860661,19.03207751
Dung,,
Evaporation,-0.396674802,16.90962142
,2.947883214,16.95074597
,6.225368396,16.8932707
Duration,0.002734296,15.87159819
,0.805497954,15.91899877
,1.474391206,15.91734718
Elevation,-0.066081882,14.83473107
,0.60281137,14.83307948
,1.338593948,14.83126273
Longtide,0.132659241,13.79720331
,1.202980199,13.84394326
,2.406988054,13.8409704
Latitude,-5.621749583,12.77437469
,-1.808966289,12.81434313
,2.338171875,12.80410328
MAP,-0.004789606,11.82223405
,0.730901217,11.77103481
,1.399886224,11.81876571
MAT,-4.755950306,10.74754556
,-1.545262694,10.73961793
,1.665516672,10.7810728
Straw,,
Evaporation,0.858899308,8.659607656
,1.661571211,8.65762575
,2.263575138,8.656139321
Duration,-0.213256749,7.625217918
,0.522617584,7.67278366
,1.191510836,7.671132072
Elevation,-0.014423871,6.637072652
,0.788248032,6.635090746
,1.390343714,6.682986806
Longtide,-0.484484246,5.650578973
,0.251298332,5.648762226
,1.187748885,5.646450003
Latitude,-4.566659938,4.623621383
,-1.088415026,4.615033124
,2.657387187,4.605784229
MAP,0.04677665,3.575193144
,0.782559228,3.573376397
,1.518341805,3.57155965
MAT,-1.092268732,2.540968565
,-0.155726424,2.588038831
,0.646853724,2.536674435
Mesh bag,,
Evaporation,-0.053333333,33.40368132
,0.586666667,33.45510989
,1.066666667,33.40714286
Duration,-1.12,32.36192308
,-0.426666667,32.41351648
,0.106666667,32.41516484
Elevation,-1.066666667,31.32362637
,-0.426666667,31.37505495
,0.106666667,31.3767033
Longtide,-1.493333333,30.28384615
,-0.906666667,30.28565934
,1.386666667,30.29274725
Latitude,-0.053333333,29.29928571
,0.693333333,29.30159341
,1.386666667,29.30373626
MAP,-1.12,28.25752747
,-0.586666667,28.25917582
,-7.11E-15,28.26098901
MAT,-3.2,27.21263736
,-2.4,27.21510989
,-1.76,27.26653846
Pesticide,,
Evaporation,-0.053333333,25.19489011
,1.546666667,25.10093407
,3.146666667,25.20478022
Duration,-1.12,24.15313187
,-0.48,24.15510989
,0.053333333,24.10730769
Elevation,-1.226666667,23.11434066
,-0.64,23.11615385
,-7.11E-15,23.11813187
Longtide,-0.586666667,22.02840659
,0.106666667,22.08
,0.64,22.08164835
Latitude,-5.066666667,21.02554945
,-3.466666667,21.03049451
,-1.706666667,21.03593407
MAP,-1.12,19.99928571
,-0.533333333,20.05054945
,0.053333333,20.05236264
MAT,-5.173333333,18.99774725
,-2.933333333,19.00467033
,-0.586666667,19.01192308
Eye pick,,
Evaporation,-0.48,16.93532967
,0.16,16.88785714
,0.906666667,16.89016484
Duration,-1.066666667,15.89505495
,-0.533333333,15.8967033
,0.053333333,15.89851648
Elevation,-1.12,14.90587912
,-0.533333333,14.90769231
,-7.11E-15,14.85989011
Longtide,-1.12,13.81796703
,-0.533333333,13.86923077
,0.16,13.82192308
Latitude,-1.92,12.87593407
,-1.28,12.82846154
,-0.8,12.8793956
MAP,-1.12,11.79049451
,-0.48,11.79247253
,0.16,11.79445055
MAT,-2.453333333,10.74791209
,-1.653333333,10.75038462
,-0.906666667,10.75269231
Grass,,
Evaporation,-2.506666667,8.670824176
,2.293333333,8.73510989
,7.36,8.750769231
Duration,-1.12,7.686098901
,-0.533333333,7.638461538
,0.053333333,7.689725275
Elevation,-1.12,6.647637363
,-0.64,6.649120879
,-0.053333333,6.650934066
Longtide,-1.12,5.609175824
,-0.266666667,5.661263736
,0.426666667,5.663406593
Latitude,-2.986666667,4.564945055
,-1.013333333,4.620494505
,1.226666667,4.627417582
MAP,-1.226666667,3.482472527
,-0.64,3.583186813
,-0.053333333,3.634450549
MAT,-7.146666667,2.524615385
,-3.893333333,2.53467033
,-0.426666667,2.545384615
